unit_index,unit_title,lesson_index,lesson_title,video_index,video_title,video_url,content_kind,youtube_id,duration_seconds,transcript_file,transcript
1,Parts of speech: the noun,1,Welcome to grammar!,1,Introduction to grammar,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun/welcome-to-grammar-subject/v/introduction-to-grammar,Video,O-6q-siuMik,166,transcripts\unit-01\lesson-01-01-Introduction-to-grammar.txt,"- [Voiceover] Hi, everyone. My name is David, and I'm here to introduce you to Grammar on Khan Academy. Welcome. I'm so glad you could join me. So, let's start by asking the question, ""What is grammar?"" What is this thing, why is it worthwhile to study it, why would you wanna put up with listening to me? Well, first of all, grammar is a set of conventions and rules that govern language. So what's the difference between a convention and a rule? Well, a rule is kind of the bare minimum of what it takes to make your language understandable by other people, right? So in order to make a car work, for example, in order to make it move forward as intended, the wheels have to go on the bottom instead of the roof. That's a rule. The idea that all cars should be painted teal, for example, is a convention. Now is that true that all cars should be teal? No, not necessarily, but that leads me to my second point, that grammar is context dependent. The kind of grammar that you use throughout your day changes. It depends on who you're talking to, what you're trying to say, and how you're trying to say it. And so we use multiple kinds of grammar throughout our days and throughout our lives. Another thing you need to know is that you already know so much grammar. Just from living and existing in the world and talking to other people. You know how to put a sentence together. If you can understand me, then you know so much about grammar. You know more than I can teach you. What these videos are for is to give names to the things you already know. To give you a greater command of them. And I want to say, too, that these videos are only about a very specific kind of grammar. It's called Standard American English. But I want you to know that there are many Englishes. And you know what? They're all great. They are all wonderful and vibrant and important and special. And what I do not want for you to take away from these videos is that I'm trying to teach you what is right and what is wrong. If the kind of English you speak doesn't sound like the kind of English I speak, that is okay, you know? You are great. What I want to do is give you the tools to harness language. To harness English and use it any way you want. I mean, I'm saying I don't care what color your car is. It could be pink, it could be green, it could be purple, it could be paisley, you know. I'm just trying to make sure your wheels are on straight. You are a grammarian. You have made a study of grammar throughout your entire speaking and reading life. And I firmly believe that you can learn anything. Welcome to Grammar on Khan Academy. David out."
1,Parts of speech: the noun,2,Introduction to nouns,1,Introduction to nouns,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun/grammar-nouns/v/introduction-to-nouns-the-parts-of-speech-grammar-khan-academy,Video,UejW-WQpujs,268,transcripts\unit-01\lesson-02-01-Introduction-to-nouns.txt,"- [Voiceover] Hello grammarians. Welcome to the English parts of speech. We're gonna begin with the noun, the lovely wonderful noun, your friend and mine. They're mostly what you're gonna encounter in sentences. Most sentences in English contain at least one noun or a pronoun, but we'll get to pronouns later. A noun is basically anything. And I know that's not an especially helpful definition, but we'll get more specific in a minute. A noun is basically anything at all. Now the way this is taught in traditional grammar is to say that a noun is a person, place or thing, which is fine, I think we can make that a little bit sharper and expand that out by saying that they are, that nouns are people or living things, places, things, or ideas. I think ideas is the one that usually gets left out. So nouns can be people, places, things and ideas. Let's put that in action. So, this is Raul. He is from Argentina. He is a penguin. Raul has big dreams. Now, okay. So, I wanna take these three sentences and find the noun in them using the test. So the test is, is it a person or a living thing, a place, a thing, or an idea? And if it's any of those things, then it falls into the category of words in English which we call nouns. So, sentence number one. This is Raul. What is Raul? Well, Raul is a person or a living thing so we're just gonna say person so noun. Next sentence. He is from Argentina. Now Argentina happens to be a place so therefore, it is also a noun. It's a kind of noun called a proper noun, just like Raul is but we'll get to that later. So, Argentina is a noun. Argentina incidentally is a country and the word country is also a noun because it is a thing. So, sentence the third. He is a penguin. Now, a penguin is a living being or a thing so we can say oh yes, penguin, that is a noun as well. So, you've noticed I'm not circling he or this. These words are pronouns, relative pronouns, and they can sometimes behave like nouns, but I wouldn't call them nouns. That'll just get confusing. So, these are pronouns and we'll get to them later. Sentence number four. Raul has big dreams. So, here we have Raul again. We know from the first sentence that it's a person's name. So, we're just gonna say this is also a noun again. And dreams. Now, dreams isn't a person, a place. It's a thing, sure. The reason I put in idea as a fourth category is to get it stuff that you can't pick up. Like for example, so dream, yes, dream is a noun. Dream is maybe a little tangible 'cause it's something you can imagine, but the idea of like a word like bigness. Or if you prefer, you know, size. The size of Raul's plumage was astonishing. Look at that gorgeous plumage. It's a little penguin mohawk. (high-pitched murmurs) The size of Raul's plumage was astounding. Now in that sentence, size is a noun, but it's not a physical thing, it's not a person, it's not a place, it's not something you can pick up. It's an idea. So, that's why I include this fourth category. So, if you're trying to figure out whether or not a word is a noun, just apply this test. Ask yourself, is it a person, a place, a thing, or an idea? And you, my friend, will be golden. You can learn anything. David out."
1,Parts of speech: the noun,2,Introduction to nouns,2,Introduction to singular and plural nouns,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun/grammar-nouns/v/introduction-to-singular-and-plural-nouns-the-parts-of-speech-grammar-khan-academy,Video,ETzngG8N3AU,275,transcripts\unit-01\lesson-02-02-Introduction-to-singular-and-plural-nouns.txt,"- Hello grammarians! Let's talk about singular and plural nouns. Nouns, as we discussed previously, are a type of word. They are a part of speech. A noun is any word that is a person, a place, a thing, or an idea. In English, we can figure out just by looking at a noun whether or not there is one of something, whether it's a singular, or whether or not there is more than one of something. There's an easy way to tell the difference between singular and plural. If you write the words down, singular contains the word single. Single, means there's only one of it. Plural is maybe a little bit less obvious, but it comes to us from Latin. It comes to us from this word plus, which means more, which you might recognize plus, as we call it in English, from mathematics, from arithmetic. We usually says it looks like this little plus symbol. So, whenever you think, whenever you see plural, just think more; just think plus. There is more than one. Singular is one thing. Plural, more than one thing; there is more. Let's go through it. Let's do some examples. I'll show you how you make the plural in English, how you indicate using your language that there is more than one thing. So let's just throw out a couple of words. Dog, cat, dinosaur, and whale. All you need to do to make it plural is very simply just take an s and you add it onto the end like so. Dogs, cats, dinosaurs, whales. If you want to make something plural, think about plus, more. All you have to do is add an s like that: add an s. This is what we call the regular plural. This is the regular plural. What that means is it obeys this one rule. All you have to do to say that there's more than one dog is throw on an s, and we're lucky because most English nouns behave that way. Most nouns are regular. However, here's the bad news. There are some irregular plurals. They are not regular, thus irregular, not. Now we have words like leaf, child, and fungus, which is like a mushroom, mouse, and sheep. How would you, you know you can't just add an s to these? That's unfortunately not how these nouns work in English. You can't say leafs, childs, and funguses, and mouses, and sheeps. This is how you do it. Each one of these words corresponds to a class of words that has its own unique pluralization standards. So, leaf becomes leaves. Child becomes children. Fungus becomes fungi. Mouse becomes mice. And sheep stays sheep, believe it or not. These are the irregular plurals, and we'll be covering each of these in turn in later videos, but for now I just want you to focus on the regular plural, which again we can sum up in this way. All you have to do is add an s. Here's a good example, right? We have one elephant here. Down here we have two elephants. The only difference between this word and this word is that this one has an s on the end of it. So if we wanted to say that this elephant here was not, in fact, one elephant, and was two elephants, all we have to do is add an s, changing it from singular to plural. Remember, plural comes from plus. Add an s. So one elephant becomes two elephants. (humming) World's fastest elephant drawing, go! (humming) It's kind of an elephant monkey, but you get the vague idea. If you're ever in need of more than one thing, for the regular plural, just add an s. You can learn anything. David, out!"
1,Parts of speech: the noun,3,Types of nouns,1,Common and proper nouns,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun/types-of-nouns/v/common-and-proper-nouns,Video,bGz1acC3Wew,172,transcripts\unit-01\lesson-03-01-Common-and-proper-nouns.txt,"- [Voiceover] Hello, grammarians. I'd like to bring up the idea of the difference between a common and a proper noun. So the difference between a common and a proper noun is simply the difference between something with a name and a more generic version of that thing. I'll give you a couple of examples right off the bat. So speaking generally, I am from a city. The specific city that I'm from is Chicago. I could talk about a frog generally, but if I were speaking of a specific frog, I would say Kermit. The difference between a common and a proper noun is merely the difference between a general thing, so this side is more general, and a specific thing. It's a continuum. So if you are speaking of, let's see, a river, any old river, that's a common noun, but if you're talking about a specific river, and it's a named river here, that would be the Nile, say. You could talk about a mountain, and that would be a common noun, because there are many mountains, but if you wanted to talk about a specific mountain, say Mount Kilimanjaro, in Tanzania, that's a proper noun. So here are the properties of proper nouns. Proper nouns are always capitalized. And that means that instead of using a little letter A like that, you would instead use a big letter A like that. Common nouns are only capitalized if you find them at the beginning of sentences. So you might say, ""Mountains are my favorite."" But you would also say, ""Kilimanjaro ""is my favorite ""mountain."" And that is a lowercase, non-capitalized M, as opposed to this one, which is uppercase. So that's the difference between common and proper nouns. If you're talking about something general, it's a common noun. If you're talking about something specific, it's a proper noun, and the difference between them is that you capitalize a proper noun. You can learn anything. David out."
1,Parts of speech: the noun,3,Types of nouns,2,Concrete and abstract nouns ,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun/types-of-nouns/v/concrete-and-abstract-nouns,Video,3AF_rN-yN-Y,223,transcripts\unit-01\lesson-03-02-Concrete-and-abstract-nouns.txt,"- [Voiceover] Hello grammarians. So today I'd like to talk to you about the idea of concrete and abstract nouns, and before we do that, I'd like to get into some word origins or etymology. So let's take each of these words in turn, because I think by digging into what these words mean, literally what they mean and where they come from, we'll get a better understanding of this concept. So both of these words come to us from Latin. Concrete comes to us from the Latin concretus, which means to grow together. So this part of it means grown. And this part means together. It refers to something that, you know, has grown together and become thick and kind of hard to get through and physical. The connotation here is that this is a physical thing. Something that is concrete is physical. Abstract, on the other hand, means to draw something away. So something that is abstract is drawn away from the real, from the concrete, from the physical. So this is not physical. And we make this distinction in English when we're talking about nouns. Is it something that is concrete, is it something you can look at or pick up or smell or sense or something that is abstract, something that isn't physical, but can still be talked about. So for example, the word sadness... Is a noun, right? This is definitely a noun. It's got this noun-making ending, this noun-forming suffix, ness. You know, we take the adjective sad and we toss this ness part onto it, we've got a noun. But can you see sadness? Is it something you can pick up? Sure, you can tell by being, you know observant and empathetic that your friend is sad, but it's not something you can pick up. You can't be like a measurable degree of sad. You couldn't take someone's sadness, put it under a microscope and say ""Oh, Roberta, you are 32 degrees microsad."" You know, it's not something physical. Concrete things, on the other hand, are things that we can see or count or measure. Just parts of the physical world. So anything you look at, like a dog is concrete, a ball is concrete, a cliff is concrete. Happiness... Is abstract. The idea of freedom... Is abstract. Though the presence of freedom in your life may manifest in physical objects, like ""Oh, my parents let me have the freedom to eat ice cream."" Ice cream is, you know, a concrete noun. But freedom, the thing that allows you, you know, the permission that you get from your parents to have ice cream. That's not a physical object. So that's basically the difference. So a concrete noun is a physical object and an abstract noun is not. This is why I really wanted to hit the idea that a noun can be a person, place, thing or idea, because nouns can be ideas, and those ideas tend to be abstract. Sadness, happiness, freedom, permission, liberty, injustice. All of these are abstract ideas. That's the difference. You can learn anything. David out."
1,Parts of speech: the noun,4,Irregular plural nouns: base plurals and irregular endings,1,Irregular plural nouns: -f to -ves plurals,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun/irregular-plural-nouns-base-plurals-and-irregular-endings/v/irregular-plural-nouns-part-i-the-parts-of-speech-grammar-khan-academy,Video,hhBhHW__Oxg,187,transcripts\unit-01\lesson-04-01-Irregular-plural-nouns--f-to--ves-plurals.txt,"- [David] Hello, grammarians. Today, we're going to be talking about the irregular plural. Previously, I had said that if you take any English word, any noun, say the word dog, and you tack an S onto the end of it like so, boop, you get the word dogs. And that's how you form the plural in all cases. I was lying, sorry. It turns out that English is a little bit more complicated than that. While adding an S to things is the way you usually make things plural, sometimes there are other changes. And sometimes you don't even pluralize using an S at the end, but we're not gonna talk about that now. That's for another time. What I wanna talk about today is the most basic kind of irregular plural. So we have the difference in English between regular and irregular plurals. And remember, a plural is when there's more than one of something. It comes from the Latin plus, which means ""more."" As opposed to the singular when there is just one of something. You know, one dog, two dogs. So there's a handful of words in English, and it really is a handful, that don't pluralize regularly. Words like ""leaf"" and ""loaf"" and ""calf,"" that's a baby cow. If you try to pluralize these as though they were regular plurals, you're gonna return something that is not correct, or at least is not conventional within modern standard American English, right? So ""leafs,"" for example, unless you're talking about the Toronto hockey team, is not correct. In fact, the proper term, boop, boop, boop, boop, boop, boop, is in fact ""leaves."" It is not ""loafs,"" but ""loaves."" Tasty loaves of bread. It is not ""calfs,"" but ""calves."" So there are several different kinds of irregular plurals. That's why this video is called Part I, but I'm only going to cover one such irregular plural today, and that is the change from singular f to plural ve An important caveat, an important exception here is double-f. Words like ""cliff"" or ""sheriff"" or ""sniff,"" do not change to ve or ves in the plural. They become ""cliffs,"" ""sheriffs,"" ""sniffs."" There are exceptions to that too, right? Like ""staff"" to ""staves."" But for the most part, double-f doesn't change to ve. Single f mostly does, right? That's the general rule. Singular word, ends in f, the plur will be ves. ""Leaf"" to ""leaves,"" ""loaf"" to ""loaves,"" ""calf"" to ""calves."" Generally, for the most part. English, ah, so silly. Who's driving this thing? We love it though. You can learn anything. David out."
1,Parts of speech: the noun,4,Irregular plural nouns: base plurals and irregular endings,2,Irregular plural nouns: -en plurals,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun/irregular-plural-nouns-base-plurals-and-irregular-endings/v/irregular-plural-nouns-part-ii-the-parts-of-speech-grammar-khan-academy,Video,n9poHOKkF28,443,transcripts\unit-01\lesson-04-02-Irregular-plural-nouns--en-plurals.txt,"- [Voiceover] Hello grammarians. Today we're going to be discussing more irregular plurals. So, this is the irregular plural part II, the two-ening. Because we really want to focus on this en particle. I'll explain in a minute. So, previously we discussed the idea that there's one regular plural. And then, there are a couple of different kinds of irregular plurals. So, we have the word dog. Then it becomes dogs. We have the word leaf. Then it becomes leaves. I'd like to introduce something else too, the word child is also an irregular plural because its plural form is not childs, but in fact, you ready, say it with me, children. Wow. That's weird. What is that about? Like I said, English is not a predictable language. Few languages are. When we think of English as one solid block of wood, what we're actually seeing is this lashed together raft made of spit, hope, and history. So, it's your job as a writer and a speaker of English to make of this crooked timber something straight, to borrow a phrase and then mangle it. So, the question is what is the deal? Right. And the answer is that it has to do with English language history and heritage. English comes to us from Old English, which, if you look at it now, it kinda looks like German because English is a Germanic language. That's the term linguists use. So, in Old English, there were a bunch of different ways to make something plural. Some nouns would become plural by adding an e n. Some you could add an s. Some you would add an r. And part of this depended on what part of England you lived in at the time. There were a bunch of different regional variations. Today, this e n ending only applies to basically three or four words. These are all you need to remember for this one weird e n thing. So, the e n ending plural only applies to child, ox, brother, or sister. And even those, these are really rare. I bet you don't even know what I'm talking about. The plural of brother originally was brethren. The plural of sister is sistren, or sistren. But these are so rare, and brothers and sisters is so common that we don't even need to consider them. So, really, the only weird e n plurals that are gonna be in common usage are children, and oxen. And unless your family raises musk oxen or you're an ox driver, you're probably not gonna be using the word ox very often, and if oxen are a big part of your life, you probably knew how to pluralize them already just from hearing people talk about them your entire childhood. So, I'm going to cross that off too. The only thing you need to worry about is the e n in children. Child becomes children. Now, you're probably wondering David if there's the word ox, and ox becomes oxen. What about box? Why is the plural of box boxes and not boxen? To borrow a gag from Brian Regan. The simple truth is that it has to do with this word's origin. Ox is a native Old English word. Box comes to us originally from Greek, and then Latin. And then French. That's how it came to English. I'm sorry if that's not a very satisfying answer, but that's how English works. English is this language that is composed of a bunch of different puzzle pieces all mashed together by time, history, and repeated invasions, which are totally metal. But I'm getting away from myself. The important thing to remember is that for this irregular plural, this e n ending, really, unless you work with oxen, or unless you are leading some sort of old-timey folk revival where you have to refer to brethren and sistren, child to children is really the only change you need concern yourself with. All this can be summed up just like that. You can learn anything. David out. Now, if you're still with me, I would like to relate a humorous, historical anecdote that comes to us from the 15th century English printer William Caxton. Now, this story comes to us from about the year 1490. And I just want to use this story to illustrate just how different, how dependent on what part of the country you were living in was on the language that you spoke. Because before mass transit, and mass communication media, which William Caxton was a part of because he was one of the first English language printers. Before any of this technology allowed us all to communicate with each other, we basically just had letters, and most people were illiterate. And talking to each other. And since it wasn't really easy to get from place to place to place before the advent of cars most people didn't really go very far. So, here is the story, which I will translate for you from Middle English. It goes like this. So, these merchants were traveling from the Thames river, which flows through London, and they're trying to get to Zeeland, here, which is in the modern day Netherlands. This is, incidentally, this is England. This is the southern southeast coast of England. They're trying to get to Zeeland, and this is a distance of about 160 miles. Give or take. But they can't make it there because of bad winds. They stop here at Foreland to refresh their stores. They stop for groceries basically. And then, they realize that their London English and the English of the place where they are, which is maybe 60 miles out of London, maybe, is mutually incomprehensible. A man goes into a house. Asks the woman of the house for eggs. She doesn't understand the word eggs because the word she uses for eggs is eyren. The word egg is Norse. And he says I would like some egges. And she says I don't have any egges. I don't speak French. And he gets angry because he's like I don't speak French either. I'm English. He says do you have any eggs. She says I don't know what that is. And finally, someone says I think he means eyren. Do you have any eyren? And she said oh eyren. Of course, here. Buy some. And it just goes to show you that before the advent of mass communication, we could have had variations from, as Caxton put it, shire to shire to shire. Each little town had its own variant of language, and it wasn't until everything was united by this technology that Caxton worked with, the printing press, that people started to become literate and converge toward what we would consider a more unified standard of English. Alright. That was just a little bonus, silly video. You can learn anything. David out."
1,Parts of speech: the noun,4,Irregular plural nouns: base plurals and irregular endings,3,Irregular plural nouns: the base plural,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun/irregular-plural-nouns-base-plurals-and-irregular-endings/v/irregular-plurals-the-base-plural,Video,UnJmPywSSvg,307,transcripts\unit-01\lesson-04-03-Irregular-plural-nouns-the-base-plural.txt,"- [Voiceover] Hello grammarians. I wanted to talk today about a different kind of irregular plural. So we've been talking about regular plurals where you take a word and you add an S. So for example, the word dog becomes dogs. You add an S. And this is the regular plural here. But I've been talking about the irregular plural, the plural, the multiple form of a verb that is not regular, irregular. But today I figured we'd talk about something called the base plural. Which I will illustrate for you using our friend the sheep. Now, sheep is a very strange word in that it doesn't matter whether not there's more than one of them. The form of the word always looks the same whether it's one sheep or two sheep. It's an irregular plural you don't add an S to. This is called a base plural 'cause the base sheep, the thing that you would normally add this particle S to doesn't change whether it's singular sheep or plural sheep. So that's you know. There was one sheep... on the hill. There's a sentence. What if we put another little baby sheep on that hill? A little lamb. Well now the sentence looks like this. Two sheep... on the hill. Now the only difference between these two sentences is that there's one sheep and two sheep and therefore that means that the verb changes to a plural conjugation. So there was one sheep. There were two sheep on the hill. But everything else stays exactly the same. One sheep, two sheep. This is very strange, it's a base plural. So in standard English, the form is two sheep... and not two sheeps. You see. Now, there are more words that do behave this way. So let's go investigate. So there are a small number of words that also behave this way, the way sheep does, these weird sheep plurals, these base plurals. One of them is fish. So you could say the fish are plentiful this season, but you could also say, you know, the fish... is delicious. You could say the bison migrate west or you could also say the bison migrates west indicating a single bison, you see. Bison can be singular or plural. Fish can be singular or plural. As is so frequently the case, there is a special exception regarding the word fishes, which you may have heard before, and fishes is a word that we would use when we're talking about individual species of fish. And fish is the word that we would use to refer to individual fish. So let's say your uncle Marty is a prodigious fisherman and he catches, he goes fly fishing one weekend, he comes back, he has 30 fish. Marty caught... 30 fish. But let's say on the other hand your aunt Marta is a prodigious marine biologist and she studies 30 different types of fish. You would say Marta studies... 30 fishes. And that doesn't mean that she studies 30 individual fish. That means she studies 30 types of fish. That's the difference. Fishes is referring to species. Fish refers to individuals. That's how you'd use them in the plural. So to review, there's this entire class of words called base plurals where the word itself, the base, doesn't take an S for the plural, it's just the same. The singular is the same as the plural. So that gives us words like sheep, fish, and bison. There aren't a ton of English words that behave this way where the plural is the same as the singular. I just wanted to make you aware of some of the most common ones. There are also more examples in the exercises. So I just wanted you to be aware of them. You can learn anything. David out."
1,Parts of speech: the noun,5,Irregular plural nouns: mutant and foreign plurals,1,Irregular plural nouns: mutant plurals,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun/irregular-plural-nouns-mutant-and-foreign-plurals/v/irregular-plural-nouns-part-iv-the-parts-of-speech-grammar,Video,VdLOP9teko4,162,transcripts\unit-01\lesson-05-01-Irregular-plural-nouns-mutant-plurals.txt,"- [Voiceover] Hello, grammarians. Welcome to Irregular Plurals, Part IV. The Mutant Plurals. (moans) Yes friends, these words have mutant superpowers in that they can transform weirdly and obnoxiously, not obeying any other rules of English pluralization. But here's the cool thing. There are only seven words that behave this way. What way? I'll explain by writing all of them down. The words are foot, woman, man, tooth, goose, mouse, louse. Looks pretty straightforward, right? The thing about these words is that none of them take s as a plural. So the plural of foot is not foots, the plural of woman is not womans, the plural of tooth is not tooths. The reason these are called mutant plurals is because the vowel sound, the ooh, or the uh, or the ah, or the ooh, or the ooh, or the ou, or the ou, turns into a different sound, turns into a different vowel sound. So the plural of foot is not foots, but feet. The plural of woman is not womans, but women. The plural of man is not mans, but men. The plural of tooth is not tooths, but teeth. The plural of goose is not gooses, but geese. The plural of mouse is not mouses, but mice. And the plural of louse is not louses, but lice. You can see that mouse and louse actually change their end spelling as well from se to ce. Even though it's the same sound, louse, lice, for whatever reason, just from some quirk of our spelling history, not only do we change the vowels used here, we also change the consonants you say. Why is this the case? I'm so glad you asked. I'm going to save that for another video. In the meantime, just these seven words. One, two, three, four, five, six, seven, are the only words in English that behave this way. So you're in luck. This is a handful of words to memorize. And provided you're not borrowing any one else' hats, ideally you won't have to worry about lice very often. That's my hope. You can learn anything. David out."
1,Parts of speech: the noun,5,Irregular plural nouns: mutant and foreign plurals,2,Irregular plural nouns: foreign plurals,https://www.khanacademy.org/humanities/grammar/parts-of-speech-the-noun/irregular-plural-nouns-mutant-and-foreign-plurals/v/foreign-plurals-grammar,Video,L6pH8O3B4ak,297,transcripts\unit-01\lesson-05-02-Irregular-plural-nouns-foreign-plurals.txt,"- [Voiceover] Hello grammarians! Today we're talking about another kind of irregular plural noun, and that is the foreign plural. Those are words that are borrowed into English from some other language. Words like fungus, or cactus, or thesis, or criteria. And these words come from Latin and Greek, respectively, but don't get the idea that you need to learn to be able to speak Latin or Greek in order to speak English. No, not at all. But while some words that got borrowed into English have lost their language-specific plurals, some have not. Some have maintained those plurals. And it kind of depends on which situation you're using them in. So, for example, in an informal context, it would be perfectly acceptable for you or me to say funguses, like that. But if I was talking to a biologist, she would probably say fungi if she were talking about them in a scientific context. Just like it's okay in informal speech to talk about cactuses. You're driving along a road in Arizona, you see a lot of cactuses. But, again, if you studied cactuses for a living, you would probably call them cacti. It's more precise, it's more formal. If you like, it's more polite. Now, my feeling is, that as fungus and cactus get more and more entrenched into English eventually these formal endings are going to fall away and we're just gonna have this regular plural. But for now there are still some pluralizing rules for other languages that it helps to know. So let's go through those. So I made this little chart to go over the six most common Latin and Greek irregular plurals that you're going to encounter in English. So the first one is final -a to final -ae. So you take a word like larva in the singular, which is like a little baby bug, like an ant larva, or a caterpillar larva, and the traditional irregular plural, the Latin plural of that, is larvae, -ae. But the regular plural that will probably get more popular over time is larvas. But this is the first one, -a to -ae. Larva to larvae. Just like antenna becomes antennae. Secondly the ending change from final -us to final -i, which we find in a word like fungus, is the singular, and then the irregular plural of that is fungi. And, as I said before, there are some people who use funguses, but again, that regular plural is more informal. This next one is also Latin and it's the change from final -um to final -a. So we take a word like datum, which is a single unit of data, so the plural of data, so we change singular datum to plural data and there is no accepted, you wouldn't say the datas, that is not an accepted regular plural. I think what's going to happen instead is that datum is gonna fall away. But, again, it hasn't really happened yet. Not in a formal context, anyway. This next one is also Latin, and it's final -ex or final -ix to final -ices. So if you take a word like index, or matrix, the plural of that is not indexes, but indices. Indexes is, again, the informal regular plural, but indices is the more formal irregular plural. Likewise, matrices. This one is Greek and it's the change from final -is to final -es, as in the word thesis in the singular becoming theses in the irregular plural. The regular plural of this I do not care for because it is thesises, and I think that sounds silly. But thinking something is silly is no reason to stand athwart the tide of linguistic change, grumble grumble. This last one is also Greek, and it's the change from singular -on to plural -a. So we this word like criterion, or phenomenon, and in the plural it is criteria or phenomena. (singing) Do do do do do. And as with datum, there isn't really a regular plural form for criteria. Nobody says criterions, because the word criteria is so much better known. Anyway, so these are six little ending rules, but, like I said, you don't need to learn Latin or Greek in order to make sense of English. But having these six rules in your tool belt, if you use them judiciously, will probably come in handy. But, for real, if you see a word and you don't know it's derivation, just trust your instincts and give it a regular plural. Just tack on an -s. You know, the world's not gonna end, not harm will come to you. And if you're curious, you can look it up later. You can learn anything. David out."
